CT1,CT2,CT3,CT_Avg,total_current,state,created_at,vibration,therm_temp
3.460960865,4.539746761,3.892935038,3.964547396,11.89364243,ON,2024-08-05 03:42:52,1872.0,37.66638184
3.453026772,4.615559101,4.054057598,4.040881634,12.12264442,ON,2024-08-05 03:42:57,1904.0,37.70856094
3.558245182,4.564230919,4.096498013,4.072991848,12.21897507,ON,2024-08-05 03:43:02,1857.0,37.69739532
3.458723068,4.838080883,4.117455482,4.138086796,12.41425991,ON,2024-08-05 03:43:07,1941.0,37.79595947
4.055738926,5.37679863,4.486773491,4.639770031,13.91931057,ON,2024-08-05 03:43:12,1795.0,37.93422318
5.185364723,6.58535862,5.803480625,5.858067989,17.57420349,ON,2024-08-05 03:43:17,1792.0,38.0266571
5.401189327,6.432712078,5.631307602,5.821736813,17.46520996,ON,2024-08-05 03:43:22,1965.0,38.11416245
3.567324638,4.653176785,3.827671051,4.016057491,12.048172,ON,2024-08-05 03:43:27,1798.0,38.18136215
5.210142136,6.320392609,5.7140522,5.748195648,17.24458694,ON,2024-08-05 03:43:32,1842.0,38.27576828
5.394158363,6.207434177,5.819259644,5.806951046,17.42085266,ON,2024-08-05 03:43:37,1768.0,38.36896133
5.144583225,6.691486835,5.805386066,5.880485535,17.6414566,ON,2024-08-05 03:43:42,1792.0,38.47407913
3.569565773,4.450324535,3.946717501,3.988868952,11.96660709,ON,2024-08-05 03:43:47,1830.0,38.58217239
5.202105999,6.353987217,6.005851746,5.853981495,17.56194496,ON,2024-08-05 03:43:52,1792.0,38.65093231
5.425491333,6.34028101,5.566820145,5.77753067,17.33259201,ON,2024-08-05 03:43:57,1827.0,38.74819565
5.223426819,6.714380264,4.330250263,5.422685623,16.26805687,ON,2024-08-05 03:44:02,1919.0,38.86116409
3.701183558,4.760678768,3.887893438,4.116585255,12.34975624,ON,2024-08-05 03:44:07,1905.0,38.96648407
5.102114201,6.599661827,5.360786915,5.687520981,17.06256294,ON,2024-08-05 03:44:12,1837.0,39.05606079
5.448692322,6.618498802,5.630378246,5.899189472,17.69756889,ON,2024-08-05 03:44:17,1961.0,39.13294983
4.597818851,4.498361111,3.882840872,4.326340199,12.97902107,ON,2024-08-05 03:44:22,1795.0,39.197258
3.773880482,4.508087635,3.830129147,4.037365437,12.11209679,ON,2024-08-05 03:44:27,1807.0,39.3122406
3.86127162,5.307215691,4.383432865,4.517306805,13.55191994,ON,2024-08-05 03:44:32,1904.0,39.39483261
4.314537048,5.375999451,4.715939999,4.802158833,14.40647697,ON,2024-08-05 03:44:37,1776.0,39.50146484
4.031807899,4.923342228,4.001234531,4.318794727,12.95638466,ON,2024-08-05 03:44:42,1862.0,39.58450699
3.675194502,4.704453468,4.224297523,4.201315403,12.60394573,ON,2024-08-05 03:44:47,1887.0,39.67004776
4.281775475,5.351613998,4.88714695,4.840178967,14.52053642,ON,2024-08-05 03:44:52,1777.0,39.74683762
4.216380596,5.571792126,4.740633011,4.842935085,14.52880573,ON,2024-08-05 03:44:57,1853.0,39.86004257
4.50845623,5.462202072,4.617703915,4.862787247,14.58836174,ON,2024-08-05 03:45:02,1986.0,39.97410202
3.550238132,4.475078583,3.886999607,3.97077179,11.91231537,ON,2024-08-05 03:45:07,1842.0,40.03348541
3.642120838,4.560034752,4.109281063,4.103812695,12.31143761,ON,2024-08-05 03:45:12,2062.0,40.12700653
4.380238533,5.604197979,4.67116642,4.885200977,14.65560246,ON,2024-08-05 03:45:17,1819.0,40.20923233
4.773219585,5.434726238,4.735455036,4.981133938,14.94340134,ON,2024-08-05 03:45:22,1802.0,40.30751038
3.746351957,4.533530712,4.103005886,4.127629757,12.38288879,ON,2024-08-05 03:45:27,1933.0,40.39747238
3.54923749,4.541553497,4.160334587,4.083708286,12.25112534,ON,2024-08-05 03:45:32,1879.0,40.49837112
3.613583326,4.725215912,3.799120903,4.045973301,12.13792038,ON,2024-08-05 03:45:37,1908.0,40.57814789
4.610711575,5.579894066,4.737828255,4.976144314,14.92843342,ON,2024-08-05 03:45:42,1860.0,40.64632034
4.612131119,5.584130764,5.059448242,5.085237026,15.2557106,ON,2024-08-05 03:45:47,1721.0,40.73971176
3.668422937,4.539011002,4.041313648,4.082915783,12.24874687,ON,2024-08-05 03:45:52,1817.0,40.81731796
3.752816439,4.38957119,3.843130112,3.995172501,11.9855175,ON,2024-08-05 03:45:57,1866.0,40.96190643
3.412801504,4.624584198,4.034768581,4.024051666,12.072155,ON,2024-08-05 03:46:02,1864.0,40.99454498
3.47278285,4.653759956,3.806260586,3.97760129,11.93280411,ON,2024-08-05 03:46:07,1872.0,41.17208862
3.445335388,4.410710335,3.909327745,3.921791077,11.76537323,ON,2024-08-05 03:46:12,1883.0,41.15167999
4.6554842,5.51900053,4.611063957,4.928515911,14.78554821,ON,2024-08-05 03:46:49,1846.0,41.73826599
4.405200481,5.348755836,4.973293304,4.90908289,14.72724915,ON,2024-08-05 03:46:52,2023.0,41.75983429
4.36450243,5.333923817,4.71835804,4.805594921,14.41678429,ON,2024-08-05 03:46:57,1739.0,41.84006119
3.551928997,4.562509537,3.87123394,3.995224237,11.98567295,ON,2024-08-05 03:47:02,1737.0,41.92387009
4.490110874,5.765228271,5.124950886,5.126762867,15.38028908,ON,2024-08-05 03:47:07,1873.0,42.04479599
3.717983007,4.570689678,3.921935081,4.070202351,12.21060753,ON,2024-08-05 03:47:12,1810.0,42.05923462
