CT1,CT2,CT3,CT_Avg,total_current,therm_temp,vibration
3.689776182,4.692258358,4.041685104,4.141239643,12.42371941,49.18555832,1723.0
4.045948029,5.206445694,3.945293665,4.39922905,13.19768715,49.19147491,2018.0
4.06524086,5.564013481,4.762777805,4.797344208,14.39203262,49.21403885,1810.0
3.294127464,4.260715961,3.827064276,3.793969154,11.38190746,49.26900482,1795.0
3.301000595,3.812106133,3.745016575,3.619374514,10.85812378,49.33441162,1886.0
3.313764572,4.550103188,3.684630156,3.849499464,11.54849815,49.37679672,1631.0
4.177095413,5.253909588,4.495433331,4.642146587,13.92643929,49.47359848,1853.0
4.261211395,5.387761116,4.752809525,4.800593853,14.40178204,49.56141281,1931.0
3.389402628,4.434537888,3.872564554,3.898834944,11.69650459,49.59969711,1901.0
3.383980274,4.692418575,3.802401543,3.95960021,11.87880039,50.67945099,1888.0
3.391423941,4.331915855,3.547918797,3.757086515,11.27125931,50.64833832,1904.0
3.369589329,4.390853882,4.032325268,3.930922747,11.79276848,50.13256073,1789.0
4.411037922,5.281051159,4.390892982,4.694327354,14.08298206,50.07478333,1856.0
4.353526115,5.206399441,4.769901276,4.776608944,14.32982635,49.99801636,1817.0
3.39607811,4.286010742,3.696336746,3.792808533,11.3784256,49.9408226,2035.0
4.26840353,5.195137978,4.524558544,4.662700176,13.98810005,49.82522964,1763.0
4.060639381,5.193555832,4.75160408,4.668599606,14.00579929,49.6626091,1794.0
4.241102695,5.168385029,4.562764645,4.657417297,13.97225189,49.60962296,1872.0
3.518795252,4.374370575,3.768606901,3.887257576,11.66177273,49.53253937,1648.0
4.52960062,5.239103794,4.552586555,4.773763657,14.32129097,49.47071075,1839.0
4.276416779,5.215344906,4.875807285,4.789189816,14.36756897,49.38079453,2027.0
4.30011034,5.479132652,4.687444687,4.822229385,14.46668816,49.33618546,1895.0
3.448205233,4.222006321,3.667254925,3.779155731,11.33746719,49.30436325,1838.0
3.68224287,4.628056049,3.778025627,4.029441357,12.08832455,49.28387451,1671.0
4.17056179,5.521179199,4.732894421,4.808211803,14.42463493,49.27239227,1840.0
4.239121914,5.222540855,4.568236828,4.676633358,14.0298996,49.26319504,1927.0
